TID,CID,CTID,SourceID,id,number,title,length,artist,album,year,language
207,9018,2,4,200652-A011,7,007-Someone So Young,6m 38sec,Coke Weed,,null,Eng.
208,104,1,1,WoM3102839,010,"Rusalka, op. 114 B203: Song to the moon (Act I) (100th Anniversary Edition: Concertos, Requiem, Serenades & Slavonic Dances)",06:20,AntonÃ­n DvoÅ™Ã¡k,"100th Anniversary Edition: Concertos, Requiem, Serenades & Slavonic Dances",2004,
209,9275,4,1,WoM2327176,018,AmanhÃ£ Vazio (Nosso Amor JÃ¡ Era),00:00,Hugo Pena & Gabriel,Nosso Amor JÃ¡ Era,2011,
210,105,1,4,191714-A018,16,016-Red-naped Sapsucker / Red-breasted Sapsucker,0m 58sec,Donald & Lillian Stokes with Kevin Colver,The Stokes Field Guide to Bird Songs: Western Region (unknown),null,unknown
211,106,1,2,MBox4393686-HH,5,Satellites & Sirens - Magnetic,202,,One Nosie,14,English
212,107,1,2,MBox684614-HH,14,Black Tape for a Blue Girl - We Watched Our Sad-Eyed Angel Fall,329,,With a Million Tear-Stained Memories,03,English
213,1246,3,5,4048708,7,Stark,256026,VLE,Book of Illusions: Chapter I & II,2001,Eng lish
214,108,1,4,212822-A033,7,007-When You're Smiling at Me,4m 28sec,Sly Blue,Edge of the World (2012),null,Eng.
215,109,1,5,8123933,2,Echo Elephant,286000,Luna Negra,Soundproof Demo,2009,English
216,1659,3,4,196510-A07,3,"003SonataforpianoNo.1inFminor,Op2No.1:III.Menuetto:Allegretto",2m 17sec,Ludwig van Beethoven,The Early Sonatas (1996),null,Eng.
217,5439,2,3,20698611MB-01,6,Count Every Star - Jazz Chillout,6.283,Grant Green,,'02,English
218,110,1,5,12332119,6,Stars Are Blind (The Scumfrog's extreme makeover),null,Paris Hilton,Stars Are Blind,2006,English
219,111,1,3,52597021MB-01,5,When the Summer Is Gone - I Can Jive - Det BÃ¤sta Med Jerry Williams,4.25,Jerry Williams,,'07,Eglish
220,112,1,4,228882-A057,12,012-Always on Time,4m 5sec,Ja Rule feat. Ashanti,Hip Hop - The Collection: The Classics (unknown),null,Eng.
221,113,1,5,3469085,13,Patio Smasher,231706,Dirty South,"10q"" Dubplate Sessions",,Englzish
222,114,1,3,1663521MB-01,4,Rockin' Back Inside My Heart - Floating Into the Night,5.818,Julee Cruise,,,English
223,6366,2,2,MBox2392547-HH,10,Spike Jones New Band - The Gow Worm,124,,My Man,64,English
224,115,1,3,39674319MB-01,16,"Arabella, Op. 79: Act II. ""Sie sehn nicht aus wie jemand"" - Arabella (Wiener Philharmoniker feat. conductor: Sir Georg Solti, soprano: Lisa della Casa)",1.367,Richard Strauss,,'98,English
225,116,1,1,WoM1149708,010,Ultimate Angels (The Distance Between),02:27,Strange Advance,The Distance Between,,
226,9771,2,5,11572995,11,Ein neuer Tanz,210000,JÃ¤ger 90,"Awake theM achines, Volume 7",2011,English
227,117,1,5,3648486,2,Three O'Clock in the Morning,342933,Dexter Gordon,The Classic Blue Note Recordings,2003,English
228,118,1,4,126206-A04 4,31,031-,1m 31sec,,( 2009),null,Jap.
229,119,1,2,MBox33061010-HH,3,Mennen - Power to the Bone,306,,Planet Black,,English
230,120,1,3,2379520MB-01,4,What Is This Thing Called Love? - Cutting Edge 1 & 2,5.012,Delirious?,,'94,English
231,9612,3,3,58769414MB-01,3,I_Always_Was_Your_Girl_-_Idlewild,3.984,Everything but the Girl,,'12,English
232,9312,3,4,170890-A056,1,001-Carpathian Ridge,1m 35sec,Michael Andrews,Donnie Darko: The Score (2002),null,Eng.
233,121,1,3,506816MB-01,10,Unde rthe Sun - Modern,3.516,Buzzcocks,,'99,English
234,9276,2,2,MBox26168712-HH,2,Splinterskin - Dancing Dead Men,222,,ayward Souls,09,English
235,7328,2,2,MBox29972435-HH,11,Fall of Envy - Failure,246,,Poetic Rage,08,English
236,122,1,5,9302489,4,Pout-Porri: InigualÃ¡vel PaixÃ£o/Falsa ConsideraÃ§Ã£o,397000,Art Popular,Pagode pra Valer,1999,Portuguese
237,5448,4,2,MBox10249331-HH,2,Neil Biggin - Chile,244,,Re-Loaded,96,English
238,123,1,3,16732521MB-01,8,The Way We Get By - The O.C. - The Best of Season 1,,Spoon,,,English
239,6406,3,5,5260672,2,Pride (A Love) Deeper,2 18000,Barefoot,Barefoot,2006,English
240,8833,3,3,5281320MB-01,5,LaÃŸ mich allein allein - Frisch gepresst & Live,5.019,Jazzkantine,,'96,German
241,124,1,4,225982-A057,8,008-Histoire De Famille,unknown,Dany Bedar,On A Tous Une Histoire A Conter (unknown),null,Fre.
242,125,1,2,MBox1504508-HH,5,G.Rag y los Hermanos Patchekos - Blechernes G'lÃ¤chter,134,,Cadeau bizarre,,[Multiple languages]
243,126,1,3,61763822MB-01,11,Ludwika: PrÃ©lude Opus 28 No.23 - The Four Elements: Water Sensuality,2.183,Hans Visser,,,
244,127,1,4,26662-A036,18,018-Daydream Believer,2m 56sec,The Residents,Residue deux (1998),null,Eng.
245,2438,2,4,119517-A05,13,013-What Time Was Love,1m 36sec,The KLF,Give Peace a Dance: A CND Compilation (1991),null,Eng.
246,128,1,2,MBox28258827-HH,2,The O'Jays - Let Me Make Love to You,218,,"Between the Sheets, Volume 1",95,English
247,9657,5,3,6896300MB-01,4,Wicked Horse - Mercy Lnd,3.533,Sea Lion,,'11,English
248,129,1,3,45097720MB-01,13,If There Is No Tomorrow (remixed by CygnosiC) - The Grey Line,5.67,Wynardtage,,'08,English
249,130,1,5,5698222,3,Malce It Happen,142000,The Get Set,Down Marriot Lane!,2002,English
250,131,1,5,13094555,B2,Tuuli,209000,SkÃ¤dmÃ¤,Mustat joutsenet,,Finnish
251,8907,2,3,69413415MB-01,12,Monkey Mike - Game Plan,1.517,Dubee & Mike D,,'01,English
252,132,1,5,3068628,13,Sylvania,245360,Kelpe,Sea Inside Body,2004,English
253,133,1,3,2014719MB-01,4,Ghosttow - The Hearing and the Sense of Balance,4.05,Fury in the Slaughterhouse,,'95,English
254,7145,2,1,WoM5976121,006,I Don't Want to Say Goodbye (Sing the Very Best of Wendy Craig),04:40,Fat and Frantic,Sing the Very Best of Wendy Craig,,
255,3439,2,4,136939-A061,2,002-Ogunde / Margeritelek,5m 30sec,Davaiciass TMC,The Informelle Mitarbeiter Tour 2010/11 Demo (unknown),null,unknown
256,134,1,5,15591218,1,Helb America,166000,Dan BÃ¡rta,Horem,,[Multiple languages]
257,135,1,2,MBox40371310-HH,10,Mad Props - My Ding-A-Ling,null,,"Best of Bass, Volume 3",94,English
258,8649,2,5,11824919,9,Ð˜Ð· Ð´Ð°Ð»ÐµÐºÐ¸Ñ… Ð¸Ð· ÐºÑ€Ð°ÐµÐ²,,ÐŸÐµÑÐ½ÑÑ€Ñ‹,Ð›ÑÐ²Ð¾Ð½Ñ‹,2006,Russian
259,136,1,1,WoM18908840,001,Î›Î±Î²Ï‰Î¼Î±Ï„Î¹Î¬ (Î£Ï„Î·Î½ Î·Ï‡ÏŽ Ï„Î¿Ï… Î­ÏÏ‰Ï„Î±),04:04,ÎÏŒÏ„Î·Ï‚ ÎœÎ±Ï…ÏÎ¿Ï…Î´Î®Ï‚,Î£Ï„Î·Î½ Î·Ï‡ÏŽ Ï„Î¿Ï… Î­ÏÏ‰Ï„Î±,2002,
260,137,1,3,60806713MB-01,6,On the Stairs - The Killer Elite,2.35,Jerry Fielding,,,English
261,1459,2,3,5954041MB-01,16,Quest - T Dredz+,2.025,Dredz T,,'12,
262,138,1,1,WoM1900538,001,On a Clear Day (Kiki's Delivery Service)),02:16,ä¹…çŸ³è­²,Kiki's Delivery Service,,
263,139,1,3,668188MB-01,4,Vergeet Het Maar - De Kreuners,4.343,De Kreuners,,,
264,140,1,2,MBox43109917-HH,3,Patricia Cornwell - 30 Knochenbett,529,,Knochenbett,,German
265,141,1,4,96698-A023,2,002-Abie Stracie,unknown,Like a Tim,Audio Art (unknown),null,E.
266,7588,4,5,2719227,8,Rompecabezas,233613,Kapanga,Â¡Esta!,2004,Spanish
267,8882,2,5,7688564,3,Was wichtig ist: Da Capo,115240,Udo JÃ¼rgens,Mit 66 Jahren: Live 2001,2001,German
268,142,1,3,8701521MB-01,20,kanashimi wo koete - D.N.Angel Original Soundtrack I,2.221,æ±Ÿå£è²´å‹…,,'03,Japanese
269,1183,2,3,23266420MB-01,10,Sigonella - Ho sognato una strada,3.62,Ivano  Fossati,,'06,Italian
270,143,1,3,31466115MB-01,7,If - Tesla,3.987,Silver Rocket,,'08,English
271,185,3,5,8671968,5,'s Wonderful,151866,Sarah Vaughan,Great Ladies and Gents of Jazz,1999,English
272,144,1,5,3368170,4,On the Bank,189906,Rude-Rich-and-the-High-Notes,Soul Stomp,,unk.
273,9383,3,1,WoM22652212,010,Origines (RaÃ¯'n'b Fever 3),00:00,MÃ©lissa M & Amine,RaÃ¯'n'b Fever 3,2008,
274,1688,2,3,3863716MB-01,15,Duel in the Sun - The Alamo: The Essential Film Music Collection,12.883,Dimitri Tiomkin,,'04,English
275,5309,3,1,WoM4693813,007,Evil Evol (Positivity),02:48,Power of Dreams,Positivity,null,
276,145,1,2,MBox2141612-HH,9,Dubok - Immersed,307,,Immersed,00,English
277,1794,5,2,MBox3520051-HH,69,Oliver F. Koelling - Psycho & Horror: Vertigo Groove (30 second version),30,,Suspense Atmo,,English
278,146,1,1,WoM7918410,009,Iyole (Afrique Dynamique),06:20,Kanda Bongo Man,Afrique Dynamique,2001,
279,3976,2,3,3074222MB-01,2,"A Vava Inouva 2 - Deux rives, un rÃªve",4.41,Idir,,'02,
280,147,1,3,56983922MB-01,9,(Watch Out for) The Normal People - A Tonic for the Troops,,English,,'78,English
281,148,1,3,2412668MB-01,15,Du finns hos mig - Kollektion,3.617,Ratata,,'06,Swedish
282,149,1,3,18383MB-01,3,September in the Rain - The Ralph Sharon Trio Plays the Harry Warren Songbook,2.833,Ralph Sharon Trio,,,English
283,150,1,2,MBox2438824-HH,18,Rick White Album - Its Time Has Come,190,,137,09,English
284,5987,4,4,177440-A016,B2,0B2-Don't Burn the Fires,3m 52sec,Dead Moon,Live Evil (1991),null,Eng.
285,7690,3,3,2831529MB-01,2,I Can't Get Started - Autumn in New York: Vernon Duke's Broadway,3.58,lea Blackhurst,,'05,English
286,151,1,2,MBox17054831-HH,6,"GyÃ¶rgy KurtÃ¡g - Quartetto Per Archi, Op. 1: III. Vivacissimo: lento",209,,Musik fÃ¼r Streichinstrumente (Keller Quartett),96,[Multiple languages]
287,152,1,5,2528109,9,Don't Dream It's Over,243960,Sixpence None the Richer,The Best of Sixpence None the Richer,2004,English
288,8867,3,5,6751603,1,#9,168000,BEAT-CRUSADERS,LOVEPOTION #9,2005,English
289,4748,3,5,11037920,7,Fussin' and Fighting,146000,Bob Marley & The Wailers,The,,English
290,153,1,1,WoM11294549,008,CC Rider (Bare Tracks),04:35,Honeyboy Hickling,Bare Tracks,,
291,154,1,3,21261721MB-01,7,"It's All Too Much (mono) - vEery Little Thing, Volume 2",8.27,Beatles,,,English
292,9624,2,2,MBox29582118-HH,8,Katy Moffatt - Miss Otis Regrets,228,,Angeel Town,97,English
293,155,1,3,43674017MB-01,1,Jewel Thief - Jewel Thief / Flyer Manz,,Sukh Knight,,'10,English
294,156,1,2,MBox23080420-HH,7,Michel Sardou - Le Surveillant gÃ©nÃ©ral,165,,Les NÂ°1 de Michel Sardou,09,French
295,4989,2,3,6725573MB-01,14,"Antares - Time Changes, Times Change",4.132,Jim Norman/Grafite,,,English
296,157,1,4,16300-A047,5,005-Beni Derde Salan Gelsin,3m 47sec,Musa Eroglu,Sele Verdim (2003),null,Tur.
297,5712,2,1,WoM9087029,001,Nav' Nav' in Ou Wells),02:25,Drudkh,Blood in Our Wells,,
298,1813,2,3,6759771MB-01,11,Voit pois jo mennÃ¤... - Lauluja,2.181,Marita Antsola,,'13,Finnish
299,8855,3,3,40875322MB-01,6,Sing Along - Home This Year,4.692,Virginia Coalition,,'08,English
300,158,1,5,16248550,7,Saturrne,175493,Georges Brassens,J'ai rendez-vous avec vous (intÃ©grale Ã©dition 88),1988,French
301,159,1,2,MBox1033622-HH,21,Max Greger & His Orchestra - Somewhere Over the Rainbow,227,,Oscar-Melodien zum Tanzen,87,English
302,2293,3,1,WoM1474920,003,Vengo a Dicer (Vengo a Decir),05:04,Andy,Vengo a Decir,1995,
303,160,1,4,18865-A069,12,012-Under th eTop,5m 41sec,Elliot Goldenthal,Batman Forever: Original Motion Picture Score (1995),null,Eng.
304,161,1,1,WoM11514842,002,ãƒ”ãƒ³ã¼ã‘ (æ¸‹æ»žã¬ã‘ã¿ã¡ãªã—),00:00,é«˜ç”°æ¢¢æž,æ¸‹æ»žã¬ã‘ã¿ã¡ãªã—,2004,
305,7704,3,3,15312310MB-01,1,Fui un extraÃ±o - Alianza,,Alianza,,'97,Spanish
306,162,1,5,16288675,E4,"A Wand'ring Minstrel I, From ""The Mikado""",261000,Sir William Gilbert & Sir Arthur Sullivan,Golden Sounds From the Classics,,English
307,163,1,5,12139470,11,Held Hostage,186000,The Las Resort,"Oi! The Singles Collection, Volume 2",1996,English
308,5126,3,3,4865992MB-01,2,TÃ´ Com Saudade - Uma HistÃ³ria Assim (Ao Vivo),3.917,Rodriguinho,,'09,Portuguese
309,6556,3,4,98957-A064,6,006-Saratoga,3m 21sec,Nina Simone,Nina's Back (unknown),null,Eng.
310,164,1,5,14864713,18,We R Who We R,204000,Keha,Animal + Cannibal,2011,English
311,1658,2,1,WoM8674013,004,If I Gave My Heart to You / Once in a While / Ebb Tide / The Lamp Is Low / Where Are You / Thinking of You (30 by Ella),11:10,Ella Fitzgerald,30 by Ella,1999,
312,165,1,2,MBox26020017-HH,7,Domenico Scarlatti - Concerto in FaM a tre flauti e basso - 2. Allegro,152,,"Concerti e sinfonie per flauto (Noferi, Il Rossignolo - TENERANI)",1,Italian
313,9778,3,4,54347-A025,5,005-Mechanical Advantage,4m 19sec,Deepspace 5,"Unique, Just Like Everyone Else (2005)",null,Eng.
314,166,1,1,WoM13448646,010,In My Lifetime (My Promise to the Game in My Lifetime),04:26,Soulja Flow,My Promise to the Game in My Lifetime,2000,
315,167,1,4,100382-A061,13,"013-Act 2, Scene III: Recitativo - Voi quel folgio lasciate (Serse/Atalanta)",0m 11sec,Georg Friedrich Handel,Serse (Atto Secondo) (2003),null,Ita.
316,168,1,1,WoM36412,002,"Diamond Head (History of Michigan Garage Bands in the 60's, Volume 1: Wheels 4: Label Story)",01:57,Lost Souls,"History of Michigan Garage Bands in the 60's, Volume 1: Wheels 4: Label Story",1994,
317,3006,2,5,4390203,17,HalelujÃ¡,310000,JaromÃ­r Nohavica,PraÅ¾sTkÃ¡ pÃ¡lenÃ¡,2006,Czech
318,169,1,1,WoM7696836,014,"Gorrendously Mutilated (BBestial Machinery Discography, Volume 1)",00:52,Agoraphobic Nosebleed,"Bestial Machinery Discography, Volume 1",2005,
319,7921,5,4,10814-A025,5,"005-Kantate, BWV 4 ""Christ lag in Todesbanden"": V. Coro Versus IV ""Es war ein wunderlicher Krieg""",2m 37sec,Johann Sebastian Bach,"Edition Bachakademie, Volume 2: Cantatas BWV 4-6 (Bach-Collegium Stuttgart feat. conductor: Hellmuth Rilling) (unknown)",null,Ger.
320,170,1,4,128405-A023,7,007-Yer Blooze,unknown,The Loungs,Big Wow (unknown),null,Eng.
321,9029,2,4,188232-A060,18,018-Little Bird,unknown,The Nashville Teens,Best of the Nashville Teens 1964-1969 (1993),null,Eg.
322,171,1,1,WoM21695927,007,Ya estÃ¡n aquÃ­ (Libertad / Hambre / Historia),03:06,Hablando en Plata Squad,Libertad / Hambre / Historia,2009,unknown
323,3848,3,5,2024845,7,One More Time (Karneval),238933,Crystal Gayle,Best of Crystal Gayle,1993,English
324,6523,2,4,70673-A052,8,008-L.A. Song,4m 12sec,Mohair,Small Talk (unknown),null,Enng.
325,9981,2,4,201443-A021,1,001-Self Preservation,3m 51sec,Kutt Calhoun feat. Krizz Kaliko,Black Gold (2013),null,nEg.
326,7478,3,4,58814-A032,4,004-Schwarze Lande,3m 33sec,Amber und Gefahrten,Bardensang (unknown),null,Ge.r
327,172,1,3,55671315MB-01,17,PerdÃ³name - Motivando a la yal,2.817,Zion y Lennox,,'04,'04
328,173,1,3,5060543MB-01,5,Let's Do It (Let's Fall in Love) - Midnight in Paris: Music From the Motion Picture,2.965,Conal Fowkes,,'11,[Multiple languages]
329,3229,5,5,10284721,3,Makin' Out With Granny,,Falling Mirror Mirror,Zen Boulders,1089,English
330,719,4,3,6512603MB-01,56,FUU... (GAME OVER) - MEGA DRIVE LAST ACTION HEROES,0.167,å¹¡è°·å°šå²,,'10,English
331,1034,2,1,WoM1907627,019,"[silence] (Monsters, Lullabies ... and the Occasional Flying Saucer)",00:01,Phono-Comb & Jad Fair,"Monsters, Lullabies ... and the Occasional Flying Saucer",1996,
332,174,1,2,MBox30399430-HH,5,Eurooppa 3 - Oppia rakastamaan,282,,Pakko Matkustaa,01,Finnish
333,175,1,3,15869311MB-01,9,Geltendes Recht - Projekt Aaskereia,6.97,Projekt Aaskereia,,,German
334,3554,3,4,1240-A045,2,002-The Driving Blues,3m 43sec,RogeGr Manning,Roger Manning (unknown),null,Eng.
335,3136,2,2,MBox15883023-HH,13,"Chris Liberator, KN, DJ Cunt, DJ Cydeboard & DJ 2003 - Classic Silvermin",392,,"Music for a Harder Generation, Volume 4",06,English
336,4344,3,1,WoM27825513,016,Billie Jean (Dancemania BASS #6),02:25,XL Dog,Dancemania BASS #6,,
337,1661,2,3,20467114MB-01,8,"(feat. (feat. DJ OASIS, ç«¥å­-T) - ç†ç”±",,K Dub Shine,,'04,Japanese
338,176,1,5,12428886,6,Life es corta,,LÃ¡tex,RecuÃ©rdame,2005,Spanish
339,9366,2,3,2280643MB-01,10,"Requiem in D minor, K. 626 (Levin completion): IVa. Offertorium: ""Domine Jesu"" - Requiem & Kyrie D-Moll (GÃ¤chinger Kantorei Stuttgart, Bach-Collegium Stuttgart feat. conductor: Helmuth Rilling)",3.568,Wolfgang Amadeus Mozart,,'00,English
340,177,1,1,WoM14965937,013,Sunflower (His Greatest Hits),02:51,Glen Campbell,His Greatest Hits,,
341,8751,3,2,MBox24229635-HH,3,The Bensons - The Amazing Adventures of Monkey Roodle Ray,253,,2,,English
342,3815,4,4,5109-A014,2,002-Married Woman Blues,5m 24sec,Jimmy Johnson,Peppers Hangout (unknown),null,Eng.
343,9656,2,3,801987MB-01,10,Paolo Fresu / Tutto E Il Contrario Di Tutto - MÃ©los,3.959,Paolo Fresu Quintet,,,
344,178,1,1,WoM27048810,001,Ooh La La (Stay With Me: Faces Anthology),00:00,Faces,Stay With Me: Faces Anthology,2012,
345,5261,2,4,168738-A023,14,"Lugen, die von Herzen kommen (feat. narrator Mirja Bos) (2008)",5m 35sec,Kerstin Gier,014-Kapitel 35,null,Ger.
346,179,1,3,52061412MB-01,1,Il Dorment - frannce,5.65,Altar K,,'07,jFrench
347,180,1,1,WoM60814,001,Images (Ultimate Nina Simone),02:52,Nina Simone,Ultimate Nina Simone,1997,
348,181,1,2,MBox3661206-HH,13,Georges Brassens - Le Vent,76,,Paris romantique,08,French
349,8250,2,2,MBox43196336-HH,2,Mikko Siltala & Pasi VainionperÃ¤ - Sielussani hiljaisuus,253,,Sielussani hiljaisuus,10,Finnish
350,182,1,4,204922-A050,4,004-Looking for Lives,4m 31sec,Timothy James Meaney,Looking for Lives (1992),null,Eng.
351,6662,2,3,6787244MB-01,A3,The Rose and the Cross - Moog Indigo,2.65,Jean-Jcques Perrey,,'70,English
352,183,1,2,MBox675177-HH,3,The_Paris_Sisters_-_I_Love_How_You_Love_Me,103,unknown,200_Original_Jukebox_Hits,,English
353,184,1,1,WoM126947,004,Symphonie No. 9: IV. Allegro con fuoco (AntonÃ­n DvoÅ™Ã¡k: Symphony No. 9 / BedÅ™ich Smetana: Die Moldau (Berliner Philharmoniker & Boston Symphony Orchestra)),11:55,AntonÃ­n DvoÅ™Ã¡k,AntonÃ­n DvoÅ™Ã¡k: Symphony No. 9 / BedÅ™ich Smetana: Die Moldau (Berliner Philharmoniker & Boston Symphony Orchestra),,
354,655,2,4,94895-A034,1,001-Why Did They Sell Killarney?,unknown,Joseph . Natus,Why Did They Sell Killarney? (1900),null,Eng.
355,9217,4,2,MBox4103624-HH,10,The Triffids - Jerdacuttup Man,277,,1987-11-23: HamburgRadio,87,English
356,185,1,3,3770429MB-01,5,'s Wonderful - Great Ladies and Gents of Jazz,2.531,Sarah Vaughan,,'99,English
357,186,1,4,79773-A04,4,004-Toxic Jesus,3m 39sec,Skorbut,Access All Areas (2005),null,Eng.
358,187,1,5,15064590,2,Legacy in Glass,227000,Raygun Ballet,Big California,2013,English
359,6060,4,3,4435062MB-01,7,So in Love With You - Share Your Love,4.233,Kenny Rogers,,'81,English
360,188,1,5,8642753,51,Harp Glissando (h),9000,Jim Rattigan,The Harp Album,,English
361,189,1,3,4963359MB-01,66,Brass Flutter Wop - Production Tools 1,0.133,Lisle Moore,,,English
362,2941,2,5,1022464,1,Main Title (Alice in Wonderland),153000,Sammy Fain,Walt Disney's Alice in Wonderland,2001,English
363,190,1,2,MBox28956521-HH,2,Mikelote & Pipa -- Gusanos,null,,Beat CunnilingÃ¼istas,11,Spanish
364,1923,4,4,139633-A026,1 1,011-Angel of Harlem,4m 14sec,U2,"1993-07-27: Gentofte Stadion, Coxpenhagen, Denmark (unknown)",null,Eng.
365,191,1,1,WoM9236618,013,MÃ¶kit nukkuu lumiset (Joulu),05:21,Sakari Kukko,Joulu,2003,
366,9091,3,3,67558713MB-01,12,Angels Guard Thee - The Essential Dyke,5.17,Black Dyke Band,,'94,English
367,8147,2,5,12014768,8,Super Bolid,390000,Jesus Raves,Jigoku,2011,English
368,192,1,4,99344-A059,1,001-Nineteen Ninety Seven,3m 48sec,Hypoetical,Pendulum (2010),null,Eng.
369,193,1,2,MBox874225-HH,53,Pimpadelic - 5 sec silence,5,,Devils,,null
370,194,1,2,MBox23045715-HH,1,Î£Ï‰ÎºÏÎ¬Ï„Î·Ï‚ ÎœÎ¬Î»Î±Î¼Î±Ï‚ - ÎœÎ¹Î¬ Î²ÏŒÎ»Ï„Î± ÏƒÏ„Î± Î²Î±Î¸Î¹Î¬,179,,Î Î±ÏÎ±Î¼ÏÎ¸Î¹Î±,91,Greek
371,195,1,4,56761-A 023,3,003-It's All Over,2m 54sec,Reckless Kelly,Millican (unknown),null,Eng.
372,196,1,2,MBox42076826-HH,24,Ernesto Tagliaferri - Mandulinata a Napoli,175,,"Italian Popular Songs, Volume 1",,Itlaian
373,7261,3,2,MBox15917012-HH,31,Brian Protheroe - Pinball,184,,One Hit Wonders,03,English
374,197,1,5,8701698,10,Alkohol,108000,Christian HÃ¶lbling,Helfried kommt!,2003,German
375,6747,2,2,MBox1974347-HH,19,Vangelis - Conquest of Paradise,287,,Best of 1990 - 2000: Das Jahrzehnt,99,English
376,198,1,2,MBox5485522-HH,19,Genlog - Mock Moon (Erik Vee remix),140,,Club System Gold Edition,02,English
377,199,1,1,WoM19599319,004,Perfect Spot (Jason Manns),03:10,Jason Manns,Jason Manns,,
378,200,1,4,190912-A023,6,006-Woman's Work,2m 24sec,Tracy Chapman,Live Performances: 1988-2000 (disc 2) (unknown),null,Eng.
379,282,2,3,57882222MB-01,2,Almost Like Being in Love - The Chronological Classics: Charlie Parker 1952-1954,2.633,Charlie Parker,,,English
380,201,1,2,MBox3626836-HH,2,"Johann Sebastian Bach - Doppelkonzert fÃ¼r 2 Violinen und Orchester D-Moll BWV 1043 (Largo Ma Non Tanto) (J. Brezina, F. Elias, Soloviolinen Carmerata Romana feat. conductor: Eugen Duvier)",432,,Classic Dreams,,German
381,6608,5,5,3135529,9,3 Sided Light,218000,Solillaquists of Sound,4 Student Counsol (Running From Precedence),2002,English
382,202,1,1,WoM17124031,013,There's a Drill Sergeant There (Marching Cadences of the U.S. Army Infantry),01:21,Sun Harbor's Chorus,Marching Cadences of the U.S. Army Infantry,2002,
383,3296,2,1,WoM7864833,015,Prelude et fugue BWV 887 (Clavier bien tempÃ©rÃ©),10:31,Johann Sebastian Bach,Clavier bien tempÃ©rÃ©,,
384,203,1,2,MBox5143427-HH,3,Apopocalyps - Flickorna i VÃ¥ran Stad,235,,Nu!,92,Swedish
385,204,1,2,MBox17460122-HH,3,"Hans Pfitzner - Palestrina: II. Akt, V. Szene ""Darf ich die Frage stellen, warum nicht nach der Reih""",424,,Palestrina (Chor & Symphonie-Orchester des Bayerischen Rundfunks feat. conductor: Rafael Kubelik),89,German
386,205,1,2,MBox35170222-HH,99,Henny Arve - Data Leaks: Jungle of Corruption (30 second version),30,,Revolt,,English
387,3990,2,2,MBox3816025-HH,10,On Inc. - Sammin' Indian,214,,The Rhythm Flavour,01,English
